Year,NAME_1,NAME_2,Total,Male,Female
2010,Johor,Batu Pahat,401902,206220,195682
2010,Johor,Johor Baharu,1334188,708660,625528
2010,Johor,Keluang,288364,160007,128357
2010,Johor,Kota Tinggi,187824,98733,89091
2010,Johor,Kulaijaya,245294,131179,114115
2010,Johor,Ledang,131890,67980,63910
2010,Johor,Mersing,69028,36595,32433
2010,Johor,Muar,239027,125056,113971
2010,Johor,Pontian,149938,78266,71672
2010,Johor,Segamat,182985,92663,90322
2010,Kedah,Baling,132304,66462,65842
2010,Kedah,Bandar Baharu,41352,20810,20542
2010,Kedah,Kota Setar,357176,178457,178719
2010,Kedah,Kuala Muda,443488,224626,218862
2010,Kedah,Kubang Pasu,214479,104688,109791
2010,Kedah,Kulim,281260,146510,134750
2010,Kedah,Langkawi,92784,49065,43719
2010,Kedah,Padang Terap,61970,31395,30575
2010,Kedah,Pendang,93598,46768,46830
2010,Kedah,Pokok Sena,48347,25371,22976
2010,Kedah,Sik,66387,34140,32247
2010,Kedah,Yan,66606,33168,33438
2010,Kelantan,Bachok,126350,63459,62891
2010,Kelantan,Gua Musang,86189,46359,39830
2010,Kelantan,Jeli,39170,20362,18808
2010,Kelantan,Kota Bharu,468438,232752,235686
2010,Kelantan,Kuala Krai,104234,53585,50649
2010,Kelantan,Machang,89118,43756,45362
2010,Kelantan,Pasir Mas,180878,90850,90028
2010,Kelantan,Pasir Putih,113191,56505,56686
2010,Kelantan,Tanah Merah,115949,58892,57057
2010,Kelantan,Tumpat,147179,73726,73453
2010,Melaka,Alor Gajah,173712,86920,86792
2010,Melaka,Jasin,131539,66418,65121
2010,Melaka,Melaka Tengah,484885,244611,240274
2010,Negeri Sembilan,Jelebu,38299,20144,18155
2010,Negeri Sembilan,Jempol,112740,58526,54214
2010,Negeri Sembilan,Kuala Pilah,63874,31367,32507
2010,Negeri Sembilan,Port Dickson,110991,58282,52709
2010,Negeri Sembilan,Rembau,41988,21343,20645
2010,Negeri Sembilan,Seremban,536147,278082,258065
2010,Negeri Sembilan,Tampin,82165,43110,39055
2010,Pahang,Bentong,114397,61623,52774
2010,Pahang,Bera,94105,51434,42671
2010,Pahang,Cameron Highlands,36978,20240,16738
2010,Pahang,Jerantut,88035,47381,40654
2010,Pahang,Kuantan,443796,230648,213148
2010,Pahang,Lipis,86484,45943,40541
2010,Pahang,Maran,111056,57530,53526
2010,Pahang,Pekan,105587,55260,50327
2010,Pahang,Raub,91731,47897,43834
2010,Pahang,Rompin,109848,60254,49594
2010,Pahang,Temerloh,158724,82430,76294
2010,Perak,Batang Padang,175318,90696,84622
2010,Perak,Hilir Perak,202593,103216,99377
2010,Perak,Hulu Perak,89926,46567,43359
2010,Perak,Kampar,96303,47714,48589
2010,Perak,Kerian,176975,88477,88498
2010,Perak,Kinta,749474,373407,376067
2010,Perak,Kuala Kangsar,155592,77524,78068
2010,Perak,Larut and Matang,326476,164526,161950
2010,Perak,Manjung,227071,118551,108520
2010,Perak,Perak Tengah,99854,49598,50256
2010,Perlis,Perlis,225630,111199,114431
2010,Pulau Pinang,Barat Daya,197131,99446,97685
2010,Pulau Pinang,Seberang Perai Selatan,166685,85292,81393
2010,Pulau Pinang,Seberang Perai Tengah,362820,186500,176320
2010,Pulau Pinang,Seberang Perai Utara,288692,144553,144139
2010,Pulau Pinang,Timur Laut,510996,248919,262077
2010,Sabah,Beaufort,64350,32754,31596
2010,Sabah,Beluran,104484,58437,46047
2010,Sabah,Keningau,173103,89227,83876
2010,Sabah,Kinabatangan,146987,82839,64148
2010,Sabah,Kota Belud,91272,46707,44565
2010,Sabah,Kota Kinabalu,452058,229929,222129
2010,Sabah,Kota Marudu,66374,33958,32416
2010,Sabah,Kuala Penyu,18958,9612,9346
2010,Sabah,Kudat,83140,42054,41086
2010,Sabah,Kunak,61094,31273,29821
2010,Sabah,Lahad Datu,199830,102660,97170
2010,Sabah,Nabawan,31807,16579,15228
2010,Sabah,Papar,124420,65240,59180
2010,Sabah,Penampang,121934,61779,60155
2010,Sabah,Pitas,37808,19072,18736
2010,Sabah,Putatan,54733,28594,26139
2010,Sabah,Ranau,94092,48341,45751
2010,Sabah,Sandakan,396290,208560,187730
2010,Sabah,Semporna,133164,66847,66317
2010,Sabah,Sipitang,34862,17550,17312
2010,Sabah,Tambunan,35667,17859,17808
2010,Sabah,Tawau,397673,203920,193753
2010,Sabah,Tenom,55553,28590,26963
2010,Sabah,Tongod,35341,19082,16259
2010,Sabah,Tuaran,102411,51989,50422
2010,Sarawak,Asajaya,31190,15830,15360
2010,Sarawak,Bau,52760,27132,25628
2010,Sarawak,Belaga,35247,20618,14629
2010,Sarawak,Betong,60728,30338,30390
2010,Sarawak,Bintulu,183402,99489,83913
2010,Sarawak,Dalat,18523,8917,9606
2010,Sarawak,Daro,29975,15676,14299
2010,Sarawak,Julau,15449,7658,7791
2010,Sarawak,Kanowit,28259,13784,14475
2010,Sarawak,Kapit,55304,27320,27984
2010,Sarawak,Kuching,598617,303499,295118
2010,Sarawak,Lawas,37212,19593,17619
2010,Sarawak,Limbang,46980,23943,23037
2010,Sarawak,Lubok Antu,27363,13519,13844
2010,Sarawak,Lundu,32568,16910,15658
2010,Sarawak,Marudi,62883,33070,29813
2010,Sarawak,Matu,16952,8439,8513
2010,Sarawak,Meradong,28713,14067,14646
2010,Sarawak,Miri,290274,155462,134812
2010,Sarawak,Mukah,41481,22677,18804
2010,Sarawak,Pakan,15139,7743,7396
2010,Sarawak,Samarahan,85495,42271,43224
2010,Sarawak,Saratok,45015,22375,22640
2010,Sarawak,Sarikei,56228,28329,27899
2010,Sarawak,Selangau,22318,11256,11062
2010,Sarawak,Serian,89078,45137,43941
2010,Sarawak,Sibu,240165,123143,117022
2010,Sarawak,Simunjan,38324,19646,18678
2010,Sarawak,Song,20105,10046,10059
2010,Sarawak,Sri Aman,64500,32661,31839
2010,Sarawak,Tatau,29592,15714,13878
2010,Selangor,Gombak,668694,343855,324839
2010,Selangor,Hulu Langat,1138198,586861,551337
2010,Selangor,Hulu Selangor,194387,100525,93862
2010,Selangor,Klang,842146,447274,394872
2010,Selangor,Kuala Langat,220214,115013,105201
2010,Selangor,Kuala Selangor,205257,104469,100788
2010,Selangor,Petaling,1765495,904094,861401
2010,Selangor,Sabak Bernam,103709,52444,51265
2010,Selangor,Sepang,207354,111274,96080
2010,Terengganu,Besut,136563,69152,67411
2010,Terengganu,Dungun,149851,76750,73101
2010,Terengganu,Hulu Terengganu,70800,36446,34354
2010,Terengganu,Kemaman,166750,87768,78982
2010,Terengganu,Kuala Terengganu,337553,168852,168701
2010,Terengganu,Marang,95283,48963,46320
2010,Terengganu,Setiu,54563,27648,26915
2010,Kuala Lumpur,Kuala Lumpur,1588750,808357,780393
2010,Labuan,Labuan,83920,43249,40671
2010,Putrajaya,Putrajaya,68361,32207,36154